person_id,name_style,email_promotion,person_type,title,first_name,middle_name,last_name,suffix,additional_contact_info
0e7956c1-835b-487b-b4b3-b83d08811282,0.0,0.0,IN,,Calvin,A,Sharma,,
333a1b3e-04c5-4c0f-80db-d840f5cc6593,0.0,1.0,SC,Mr.,John,Y.,Chen,,
ddfd0d6e-1be4-4c5a-9eaf-6bce0d98c302,0.0,2.0,IN,,Kristine,K,Moreno,,
aef31e4a-052f-47dc-85bd-31b3312a09c9,0.0,0.0,SC,Mr.,Eddie,M.,Holmes,,
63635d45-76e1-4f06-a25f-424bee9af615,0.0,0.0,VC,Mr.,Richard,T.,Young,,
6ab4b4e2-cd30-4937-a522-6e4f15d3087b,0.0,0.0,IN,,Michael,,Moore,,
b7584ddd-4c66-45fa-9cc0-ceb77c31d2eb,0.0,1.0,EM,,Stefen,A,Hesse,,
45628e80-d384-41c3-8c57-1588d45bbf55,0.0,1.0,IN,,Jason,,Carter,,
271655a6-1ff7-4cf6-b0dd-d1a1069a71ba,0.0,0.0,IN,,Lori,M,Moreno,,
2805248a-e87e-422e-9e48-fecba2f14758,0.0,0.0,IN,,Kyle,E,Hayes,,
7972c19a-0633-4984-bff4-5918769fde7b,0.0,1.0,IN,,Chloe,R,Hill,,
bb699ad2-b293-4205-8f84-b69385bfe426,0.0,0.0,IN,,Olivia,,Richardson,,
5b8b99eb-5268-4e71-9fd2-831fcb5cf2a8,0.0,0.0,IN,,Chloe,,Evans,,
40af6314-c652-41ae-8062-1ff740c3b8bb,0.0,0.0,IN,,Alicia,D,Shen,,
97dad568-fb0a-44d8-be17-48d6c778aea7,0.0,0.0,IN,,Natalie,J,Bailey,,
a068e60b-1ca7-43c7-84d2-da22b38e34ee,0.0,0.0,EM,,Janet,L,Sheperdigian,,
daeef084-5030-41d1-8dea-d779a6db97b0,0.0,0.0,IN,,Stephanie,,Perry,,
3afbba65-c5db-4264-8b67-fa97281841ac,0.0,0.0,IN,,Fernando,M,Bryant,,
9f973a49-a366-4b91-a1d0-f561e2661932,0.0,1.0,IN,,Dalton,L,Morgan,,
7debfd45-e343-4302-b636-af9901345e99,0.0,2.0,IN,,Chase,E,Kelly,,
1cd4142d-555e-482f-883e-ded4ee6c4fd5,0.0,0.0,IN,,Dustin,M,Sharma,,
6e0073b8-4a12-45b3-ba0c-68b9a5869150,0.0,0.0,IN,,Gabriella,M,Peterson,,
84bc9cde-4ca2-4f96-afed-83fa5d1565bf,0.0,0.0,IN,,Deborah,R,Sharma,,
f8ee92a6-1552-4e94-a9ee-8da01b5d90da,0.0,0.0,IN,,Jésus,E,Gutierrez,,
aa050cc9-cd12-45fb-9cc1-cb5c83f9b21b,0.0,2.0,IN,,Michele,M,Xie,,
61de291b-cf43-44ee-92d3-89aec3a2eec1,0.0,1.0,IN,,Omar,,He,,
75437265-da99-4a37-8043-38643a9962c8,0.0,0.0,IN,,Brad,E,Raje,,
2f46b907-d25d-463a-b91c-b400e6366387,0.0,0.0,IN,,Jose,J,Hall,,
2c6c375a-13b6-4f2e-ac74-375aed763649,0.0,1.0,IN,,Jodi,L,Rai,,
6bd45f4a-d466-44fc-8b1d-80fdabae6a5f,0.0,1.0,IN,,Kyle,J,Holt,,
4a9ad458-7627-4e96-a144-0fd05598a073,0.0,0.0,IN,,Sharon,M,Raje,,
f611a23d-e4f1-4baa-af99-aa2429a6c7cb,0.0,1.0,IN,,Wayne,C,Nara,,
eb9c8169-85b4-43ce-8edb-d759cd8be216,0.0,0.0,IN,,Sean,,Morgan,,
350fa129-a26c-4999-b0db-87c3156614dc,0.0,0.0,IN,,Ebony,A,Romero,,
f2eefaa2-9432-48cf-be6d-e54918d1a377,0.0,1.0,IN,,Jonathan,,Patterson,,
fccae711-4842-4251-aa18-9e4e6bc8e14f,0.0,2.0,IN,Mr.,Mircea,Radu,Singer,,
eecd29ce-cc14-4dff-ba2a-2461dd2783da,0.0,0.0,IN,,Cristina,,Xu,,
